Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Tip Top Auto Shop Inc,3,3,1,3,0.0011720663354558814,0.04425465838509316,274.0,0.0036496350364963502
Jay Jay Canada Enterprises,0,0,0,3,0.0006297669862151004,0.05981439105008899,,
JJ Motor Cars,2,2,2,3,8.74676369743195e-05,0.06319088319088319,72.66666666666667,0.014603174603174604
Toronto Auto Group - Sudbury,3,0,0,3,0.0007522216779791477,0.03737373737373737,158.0,0.006329113924050633
International Motor Cars,3,0,0,3,0.0003848576026870058,0.016831346461131377,,
I Auto Haus Sales & Leasing,1,1,1,3,0.0003323770205024142,0.06452991452991454,128.66666666666666,0.007824456688093052
Murray Mazda Chilliwack,3,3,3,3,0.0007697152053740116,0.07004830917874395,88.0,0.011363636363636362
Zed Auto Inc.,3,3,3,3,0.00027989643831782243,0.030360531309297913,37.0,0.02702702702702703
7109172 Canada Inc - Auto Shelby,0,0,0,3,0.0014519627737737035,0.036111111111111115,163.66666666666666,0.006150497953776642
Abbotsford Chrysler Dodge Jeep Ram Ltd.,3,3,3,3,0.0007872087327688756,0.0428743961352657,,
Auto Grost,2,2,0,3,0.0002973899657126863,0.06204906204906205,66.0,0.015151515151515152
Carzone Motors Ltd.,0,0,0,3,0.00071723462318942,0.05981439105008899,102.0,0.00980392156862745
Baz Auto Pre Owned Cars And Trucks,3,3,3,3,8.74676369743195e-05,0.03349673202614379,92.0,0.010872162485065713
Antepli Quality Used Car Sales,0,0,0,3,0.0006297669862151004,0.06204906204906205,218.0,0.0045871559633027525
Bolton Nissan,3,3,0,3,0.0004023511300818697,0.07004830917874395,144.0,0.006944444444444444
2622354 Ontario Limited - Maple Auto,1,1,1,3,0.00215170386956826,0.0527712109272393,161.66666666666666,0.0071661007357102435
9345-7695 Qc Inc ( Autos Deal),2,2,2,3,0.0019067944860401652,0.05948717948717949,256.3333333333333,0.0039133965346873694
9289-9574 QC Inc,0,0,0,3,0.002116716814778532,0.06700336700336701,241.0,0.004149377593360996
3274232 Nova Scotia - Driving Time Auto,0,0,0,3,0.000349870547897278,0.02701525054466231,252.0,0.003968253968253968
2334052 Ontario Inc - Sam's Auto,0,0,0,3,0.0002449093835280946,0.02701525054466231,85.0,0.011764705882352941
Border City Auto Sales & Service Inc.,0,0,0,3,0.0011895598628507453,0.030015774855074565,67.0,0.014925373134328358
Auto Via,2,2,2,3,0.0003323770205024142,0.06878306878306878,71.66666666666667,0.01525054466230937
Canada Cars,2,2,2,3,0.002344132670911763,0.048099415204678364,157.0,0.006369426751592357
A & B Ford Sales Ltd,0,0,0,3,5.24805821845917e-05,0.02701525054466231,157.0,0.006369426751592358
Autofia,3,2,0,3,0.0004898187670561892,0.05458089668615984,148.33333333333334,0.009055258467023172
Daytona Auto Brokers Ltd / Daytona Auto Sales,0,0,0,3,0.0002449093835280946,0.046529366895499615,,
Japcan Motors Ltd.,2,0,0,2,0.0005597928766356449,0.039230769230769236,186.0,0.005376344086021506
Sunridge Mazda,2,2,2,2,0.0014694563011685676,0.04257246376811594,241.0,0.004149377593360996
Nanaimo Mitsubishi,2,2,2,2,0.0008221957875586034,0.04257246376811594,,
Jordan Auto Sales Inc.,0,0,0,2,0.0001574417465537751,0.047619047619047616,249.0,0.004016064257028112
TIR Auto Sales Inc,0,0,0,2,0.0011020922258764257,0.14285714285714285,150.0,0.006666666666666667
Jim Pattison Hyundai Surrey,2,0,0,2,0.00033237702050241413,0.058333333333333334,156.0,0.00641025641025641
N and G Auto,0,0,0,2,0.0004898187670561892,0.07936507936507936,82.5,0.015277777777777779
Revolution RV and Auto,0,0,0,2,0.0014869498285634316,0.03246124031007752,53.0,0.018867924528301886
Rideau Service Centre,2,2,2,2,0.0006122734588202366,0.047619047619047616,192.0,0.005208333333333333
Streetside Motors,0,0,0,2,0.0005772864040305087,0.04257246376811594,66.0,0.015151515151515152
Jiyash Auto Sales Ltd.,0,0,0,2,0.000174935273948639,0.03333333333333333,248.0,0.004032258064516129
Auto Konnect,2,2,0,2,0.0003148834931075502,0.05131578947368421,122.0,0.00819672131147541
KH Investments Ltd,0,0,0,2,0.0012770274998250648,0.029411764705882353,99.0,0.010101010101010102
Aban Motors Ltd,2,0,0,2,6.997410957945561e-05,0.060714285714285714,,
Auto Plus Car Sales Inc,2,2,2,2,0.0001224546917640473,0.04195804195804196,253.0,0.003952569169960474
Auto Prestige Montreal Inc,0,0,0,2,0.0011545728080610174,0.05929487179487179,68.0,0.01888888888888889
Midland Super Save Inc. / Auto Save,0,0,0,2,6.997410957945561e-05,0.03869047619047619,207.0,0.004830917874396135
Saugans Automobiles Inc - Motor Palace,0,0,0,2,0.0008396893149534672,0.047619047619047616,,
Milestone Motors,2,2,2,2,0.0006822475683996921,0.03333333333333333,,
Automania Inc,2,2,2,2,0.0005772864040305087,0.05131578947368421,122.0,0.00819672131147541
Maple Ridge Volkswagen,2,2,2,2,0.0011020922258764257,0.08333333333333333,212.0,0.0047169811320754715
Serena Motors Ltd,1,1,1,2,0.0010146245889021063,0.05322128851540616,205.0,0.005655328422853044
Automobile Saint-Joseph,0,0,0,2,6.997410957945561e-05,0.039230769230769236,149.0,0.006711409395973154
Sami Auto Care,2,2,2,2,0.0002099223287383668,0.047619047619047616,87.0,0.011494252873563218
Automobiles Rougemont Inc,0,0,0,2,0.0005597928766356449,0.060714285714285714,38.0,0.02631578947368421
9289-4278 Quebec Inc,0,0,0,2,0.0001574417465537751,0.06468531468531469,166.0,0.006395438434273385
Mitsubishi Joliette,2,2,2,2,0.00013994821915891122,0.03333333333333333,,
Lancaster Auto Sales,0,0,0,2,0.00071723462318942,0.05263157894736842,64.0,0.015625
Sisley For Honda,2,2,2,2,0.002624029109229585,0.07828282828282829,200.5,0.0052583267768161555
South Trail Nissan,0,0,0,2,0.0006472605136099643,0.04257246376811594,162.0,0.006172839506172839
AutosDJ Inc,0,0,0,2,0.0004198446574767336,0.04257246376811594,101.0,0.009900990099009901
Monaco Motorcars,0,0,0,2,0.0007697152053740117,0.14285714285714285,162.0,0.006172839506172839
Autowise Motors Inc.,1,1,1,2,0.0010146245889021063,0.06388888888888888,155.0,0.007200929152148665
Lexa Auto Sales Ltd.,1,1,1,2,0.0035686795885522355,0.09523809523809523,268.0,0.0037313432835820895
B&P Automotive Inc,2,2,2,2,0.0002624029109229585,0.10416666666666666,183.0,0.006199186991869918
Leavens Chrysler Dodge Jeep Ram,0,0,0,2,0.0021866909243579875,0.09090909090909091,,
Butterfield Limited Partnership - Ezee Wheelz,0,0,0,2,0.0002449093835280946,0.011642073913632056,120.0,0.008333333333333333
Langevin Automobiles Inc,2,2,2,2,6.997410957945561e-05,0.024527186761229315,,
Ash Trust Autos Limited,0,0,0,2,0.0004898187670561892,0.04257246376811594,92.0,0.010869565217391304
Import Motors Canada,1,1,1,2,0.0004023511300818697,0.06623931623931624,192.0,0.006206562146436076
Island Park Auto Sales Inc.,1,1,1,2,0.001731859212091526,0.12941176470588237,120.0,0.008333333333333333
Pret Auto 60 Minutes,0,0,0,2,0.0002624029109229585,0.039230769230769236,50.0,0.02
2035609 Ontario Inc - Jim Perry Motors,2,0,0,2,0.001049611643691834,0.039230769230769236,,
GBK Automotive Group,0,0,0,2,0.0001574417465537751,0.03333333333333333,,
Albi Chevrolet Buick GMC Corvette,2,2,2,2,6.997410957945561e-05,0.029411764705882353,85.0,0.011764705882352941
Wagner Auto Sales - Corey D. Wagner,2,2,2,2,5.24805821845917e-05,0.039230769230769236,242.0,0.004132231404958678
Flyup Sky Auto,2,2,0,2,0.0011195857532712897,0.039230769230769236,240.0,0.004166666666666667
1514831 Ontario Limited - Pathway Hyundai,2,2,2,2,0.0014169757189839759,0.2,229.5,0.004364777481932293
Pros-autos,1,0,0,2,0.00013994821915891122,0.031471631205673756,45.0,0.022222222222222223
Fidelity Imports LTD,2,1,1,2,0.0006472605136099643,0.06468531468531469,189.0,0.005291005291005291
City Car Sales Ltd.,0,0,0,2,0.00027989643831782243,0.03333333333333333,53.0,0.018867924528301886
2171574 Ontario Inc. - Guru Auto Service,2,2,2,2,0.00587782520467427,0.047619047619047616,239.0,0.0041841004184100415
X Auto,0,0,0,2,1.7493527394863902e-05,0.058333333333333334,148.0,0.006756756756756757
DBSM Enterprises Ltd.,0,0,0,2,5.24805821845917e-05,0.14285714285714285,242.0,0.004132231404958678
1068827 Ontario Inc.,2,1,1,2,0.004320901266531383,0.03662790697674419,268.0,0.0037313432835820895
Ehab's Auto Inc.,0,0,0,2,0.0008921698971380589,0.03333333333333333,101.0,0.009900990099009901
DM Auto,2,2,1,2,0.00013994821915891122,0.1111111111111111,177.0,0.005649717514124294
DO NOT USE - DM Auto,1,1,1,2,0.0004723252396613253,0.034722222222222224,240.0,0.00422007701640555
Driven Cars Canada,2,2,2,2,0.0007522216779791477,0.057692307692307696,182.5,0.005694938525869064
Diamond Auto Detailing Ltd,0,0,0,2,0.00019242880134350291,0.06798245614035087,,
