Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Ford,Escape,2014,4WD 4dr SE,Yosh Shmenge Remarketing,1,1,0,1,0.003533692533762508,0.022222222222222223,147.0,0.006802721088435374
Nissan,Rogue,2020,AWD SV,1202894 Ontario Inc - Edwards Mazda,1,1,0,1,0.002484080890070674,0.125,43.0,0.023255813953488372
Nissan,Rogue,2020,AWD SV,401 Auto RV Canada Inc - Cambridge,1,0,0,1,0.0034112378419984607,0.125,,
Nissan,Rogue,2020,AWD SV,Bolton Nissan,1,1,0,1,0.0004023511300818697,0.125,144.0,0.006944444444444444
Nissan,Rogue,2020,AWD SV,Carleton Place Ford Inc.,1,1,1,1,0.0011720663354558814,0.125,129.0,0.007751937984496124
Nissan,Rogue,2020,AWD SV,Corcon Auto Sales,1,1,1,1,0.001591910992932615,0.125,,
Nissan,Rogue,2020,AWD SV,Fairley & Stevens Ford,1,1,1,1,0.0011370792806661536,0.125,241.0,0.004149377593360996
Nissan,Rogue,2020,AWD SV,Key West Auto Inc.,1,1,0,1,0.0007347281505842838,0.125,,
Nissan,Rogue,2020,AWD SV,Murray Mazda Chilliwack,1,1,1,1,0.0007697152053740117,0.125,88.0,0.011363636363636364
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Bridge Valley,8,7,4,12,0.021954376880554197,0.19672131147540983,149.0,0.006711409395973154
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Automobiles Paille Inc.,4,2,2,6,0.02323140438037926,0.09836065573770492,107.33333333333333,0.009316770186335404
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",R.S. Car Sales Ltd,3,2,1,4,0.003936043663844377,0.06557377049180328,173.0,0.005780346820809248
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Gateway Leasing,3,3,2,4,0.008466867259114127,0.06557377049180328,182.0,0.005494505494505495
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",European Auto Gallery,3,3,3,3,0.012123014484640683,0.04918032786885246,173.0,0.005780346820809248
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Gateway Leasing - East,2,2,2,3,0.0063326569169407316,0.04918032786885246,240.0,0.004166666666666667
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Sundance Chevrolet,2,2,2,2,0.012070533902456092,0.03278688524590164,,
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",EV Elite Auto Sales,2,0,0,2,0.004810720033587573,0.03278688524590164,275.0,0.0036363636363636364
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",2544484 Ontario Inc - Open Roads Auto Sales,0,0,0,2,0.0004898187670561892,0.03278688524590164,82.0,0.012195121951219513
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Style Auto - 9052-5585 Quebec Inc,0,0,0,1,0.0018018333216709818,0.01639344262295082,253.0,0.003952569169960474
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Titanium Auto Group Ltd - BC,1,1,1,1,0.0013644951367993842,0.01639344262295082,277.0,0.0036101083032490976
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Saskatoon Auto Connection Inc,1,1,0,1,0.0006472605136099643,0.01639344262295082,148.0,0.006756756756756757
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Haldimand Motors LTD,0,0,0,1,0.003463718424183052,0.01639344262295082,45.0,0.022222222222222223
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Upper Canada Chevrolet Inc.,1,0,0,1,1.7493527394863902e-05,0.01639344262295082,175.0,0.005714285714285714
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Premium Automotive Sales,1,1,1,1,0.0011370792806661536,0.01639344262295082,99.0,0.010101010101010102
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Kaylor Auto Group,1,1,1,1,0.0015394304107480233,0.01639344262295082,248.0,0.004032258064516129
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",International Motor Cars,1,0,0,1,0.00038485760268700583,0.01639344262295082,,
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Hinton Chrysler,0,0,0,1,0.0022566650339374433,0.01639344262295082,281.0,0.0035587188612099642
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Woods Auto Sales Ltd.,0,0,0,1,0.0001574417465537751,0.01639344262295082,43.0,0.023255813953488372
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",1068827 Ontario Inc. - Grace Motors,1,1,1,1,0.0006647540410048283,0.01639344262295082,267.0,0.003745318352059925
Nissan,Rogue,2016,AWD 4dr SV,Bridge Valley,2,1,1,2,0.021954376880554197,0.0425531914893617,,
Nissan,Rogue,2016,AWD 4dr SV,2970-7528 Quebec Inc - H Gregoire/Lane1,1,1,0,2,0.009219088937093275,0.0425531914893617,115.0,0.008695652173913044
Nissan,Rogue,2016,AWD 4dr SV,Courtier Automobile Superieur,2,2,1,2,0.0034987054789727802,0.0425531914893617,253.0,0.003952569169960474
Nissan,Rogue,2016,AWD 4dr SV,Corcon Auto Sales,0,0,0,2,0.001591910992932615,0.0425531914893617,,
Nissan,Rogue,2016,AWD 4dr SV,Revmotors,0,0,0,2,0.0005073122944510532,0.0425531914893617,129.0,0.007751937984496124
Nissan,Rogue,2016,AWD 4dr SV,Moto Auto Ltd,1,1,1,1,0.0019067944860401652,0.02127659574468085,149.0,0.006711409395973154
Nissan,Rogue,2016,AWD 4dr SV,Key West Auto Inc.,1,1,0,1,0.0007347281505842838,0.02127659574468085,,
Nissan,Rogue,2016,AWD 4dr SV,Langevin Automobiles Inc,1,1,1,1,6.997410957945561e-05,0.02127659574468085,,
Nissan,Rogue,2016,AWD 4dr SV,MGM Auto Prestige,0,0,0,1,0.0002449093835280946,0.02127659574468085,43.0,0.023255813953488372
Nissan,Rogue,2016,AWD 4dr SV,Mark Wilson's Better Used Cars,0,0,0,1,0.003393744314603597,0.02127659574468085,85.0,0.011764705882352941
Nissan,Rogue,2016,AWD 4dr SV,Millwoods Suzuki Ltd.,1,1,0,1,0.0010845986984815619,0.02127659574468085,,
Nissan,Rogue,2016,AWD 4dr SV,Montero Auto Centre,1,1,1,1,0.001399482191589112,0.02127659574468085,157.0,0.006369426751592357
Nissan,Rogue,2016,AWD 4dr SV,12416221 Canada Inc,1,1,1,1,0.000349870547897278,0.02127659574468085,219.0,0.0045662100456621
Nissan,Rogue,2016,AWD 4dr SV,Pros-autos,0,0,0,1,0.00013994821915891122,0.02127659574468085,,
Nissan,Rogue,2016,AWD 4dr SV,Imaan Auto House Ltd.,0,0,0,1,0.0011895598628507453,0.02127659574468085,107.0,0.009345794392523364
Nissan,Rogue,2016,AWD 4dr SV,Scarborough Auto Group - Octane Used Cars,0,0,0,1,0.0009446504793226506,0.02127659574468085,205.0,0.004878048780487805
