Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share
Chevrolet,Cruze,2014,4dr Sdn 1LT,Unicar Auto Group,1,1,1,1,0.0023616261983066267,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Sundance Chevrolet,1,1,1,1,0.012070533902456092,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Speedbit Inc.,0,0,0,1,0.001591910992932615,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Pret Auto 60 Minutes,0,0,0,1,0.0002624029109229585,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Patterson Auto Sales Inc.,0,0,0,1,0.0020117556504093484,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Japcan Motors Ltd.,1,0,0,1,0.0005597928766356449,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,JJ Motor Cars,1,1,1,1,8.74676369743195e-05,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,2035609 Ontario Inc - Jim Perry Motors,1,0,0,1,0.001049611643691834,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Flyup Sky Auto,1,1,0,1,0.0011195857532712897,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Easy Global Trade Inc.,1,0,0,1,0.0009796375341123785,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Corcon Auto Sales,1,1,0,1,0.001591910992932615,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Concept Auto,1,1,1,1,0.0021866909243579875,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,Automobile Saint-Joseph,0,0,0,1,6.997410957945561e-05,0.04
Chevrolet,Cruze,2014,4dr Sdn 1LT,9578862 Canada Inc - Prio Auto Sales,1,1,1,1,0.007487229725001749,0.04
Ford,Escape,2014,4WD 4dr SE,Speedbit Inc.,1,1,0,2,0.001591910992932615,0.044444444444444446
Ford,Escape,2014,4WD 4dr SE,9209-5462 Qc Inc,0,0,0,2,0.0050031488349310755,0.044444444444444446
Ford,Escape,2014,4WD 4dr SE,Auto 313 Inc.,0,0,0,2,0.0004723252396613253,0.044444444444444446
Ford,Escape,2014,4WD 4dr SE,Auto Rev Inc,2,2,1,2,0.0014869498285634316,0.044444444444444446
Ford,Escape,2014,4WD 4dr SE,Gundhu Auto Sales Ltd,1,1,1,2,0.0019767685956196207,0.044444444444444446
Ford,Escape,2014,4WD 4dr SE,Sundance Chevrolet,1,1,0,2,0.012070533902456092,0.044444444444444446
Ford,Escape,2014,4WD 4dr SE,Rteen Auto Ltd.,1,0,0,1,0.0008746763697431951,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Nubridge Auto Center Inc,0,0,0,1,1.7493527394863902e-05,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Pacific Nations Auto Sales And Finance Ltd,1,1,1,1,0.0008047022601637394,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Patterson Auto Sales Inc.,0,0,0,1,0.0020117556504093484,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Pickard Lane Leasing,0,0,0,1,0.0036386536981316913,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Ranchland Honda,1,1,1,1,0.0016968721573017984,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,1237321 Alberta Inc - Wild Mile Auto Sales,0,0,0,1,0.00019242880134350291,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Selective Autoland Inc,1,1,1,1,6.997410957945561e-05,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Silverstar Automotive Solutions,1,1,0,1,0.0002099223287383668,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Les Importations Burelle,1,0,0,1,0.0007697152053740117,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Toplane Auto Group,0,0,0,1,0.0002624029109229585,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Toronto Auto Group,0,0,0,1,0.002099223287383668,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Unicar Auto Group,1,1,1,1,0.0023616261983066267,0.022222222222222223
Ford,Escape,2014,4WD 4dr SE,Yosh Shmenge Remarketing,1,1,0,1,0.003533692533762508,0.022222222222222223
Nissan,Rogue,2020,AWD SV,1202894 Ontario Inc - Edwards Mazda,1,1,0,1,0.002484080890070674,0.125
Nissan,Rogue,2020,AWD SV,401 Auto RV Canada Inc - Cambridge,1,0,0,1,0.0034112378419984607,0.125
Nissan,Rogue,2020,AWD SV,Bolton Nissan,1,1,0,1,0.0004023511300818697,0.125
Nissan,Rogue,2020,AWD SV,Carleton Place Ford Inc.,1,1,1,1,0.0011720663354558814,0.125
Nissan,Rogue,2020,AWD SV,Corcon Auto Sales,1,1,1,1,0.001591910992932615,0.125
Nissan,Rogue,2020,AWD SV,Fairley & Stevens Ford,1,1,1,1,0.0011370792806661536,0.125
Nissan,Rogue,2020,AWD SV,Key West Auto Inc.,1,1,0,1,0.0007347281505842838,0.125
Nissan,Rogue,2020,AWD SV,Murray Mazda Chilliwack,1,1,1,1,0.0007697152053740117,0.125
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Bridge Valley,8,7,4,12,0.021954376880554197,0.19672131147540983
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Automobiles Paille Inc.,4,2,2,6,0.02323140438037926,0.09836065573770492
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",R.S. Car Sales Ltd,3,2,1,4,0.003936043663844377,0.06557377049180328
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Gateway Leasing,3,3,2,4,0.008466867259114127,0.06557377049180328
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",European Auto Gallery,3,3,3,3,0.012123014484640683,0.04918032786885246
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Gateway Leasing - East,2,2,2,3,0.0063326569169407316,0.04918032786885246
Ford,F-150,2017,"4WD SuperCrew 145"" XLT",Sundance Chevrolet,2,2,2,2,0.012070533902456092,0.03278688524590164
