Make,Model,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
GMC,Sierra 1500,Explorer Van Canada,3,0,0,9,0.0016968721573017984,0.00804289544235925,105.6,0.00946969696969697
GMC,Sierra 1500,9578862 Canada Inc - Prio Auto Sales,0,0,0,9,0.007487229725001749,0.00804289544235925,150.57142857142858,0.0066413662239089176
GMC,Sierra 1500,Elite Auto Group - USA,8,6,3,9,0.003481211951577916,0.00804289544235925,169.0,0.005917159763313609
GMC,Sierra 1500,Bannister Chevrolet Cadillac Kamloops Ltd.,6,2,1,8,0.0007347281505842838,0.0071492403932082215,127.0,0.007874015748031496
GMC,Sierra 1500,Marsh Auto Sales LLC,2,1,0,8,0.0020467427051990765,0.0071492403932082215,155.0,0.0064516129032258064
GMC,Sierra 1500,708837 N.B. Inc,0,0,0,8,0.001574417465537751,0.0071492403932082215,133.28571428571428,0.007502679528403002
GMC,Sierra 1500,Auto Club Used Car Sales Ltd,2,0,0,8,0.0008396893149534672,0.0071492403932082215,101.0,0.009900990099009901
GMC,Sierra 1500,Buy Metro Preowned Auto Sales Ltd.,0,0,0,8,0.002816457910573088,0.0071492403932082215,138.75,0.007207207207207207
GMC,Sierra 1500,Titanium Auto Group Ltd - BC,4,3,1,7,0.0013644951367993842,0.006255585344057194,261.0,0.0038314176245210726
Dodge,Grand Caravan,Autospace Incorporated - Deals On Wheelz,4,3,1,31,0.011458260443635855,0.031958762886597936,199.27777777777777,0.005018120992472818
Dodge,Grand Caravan,Automobile Endirect.com,10,6,5,19,0.008956686026170318,0.01958762886597938,127.0,0.007874015748031496
Dodge,Grand Caravan,2970-7528 Quebec Inc - H Gregoire/Lane1,2,0,0,17,0.009219088937093275,0.01752577319587629,156.21428571428572,0.006401463191586648
Dodge,Grand Caravan,Tala Auto Select,8,8,8,15,0.005475474074592401,0.015463917525773196,174.6,0.00572737686139748
Dodge,Grand Caravan,Unicar Auto Group,11,11,7,15,0.0023616261983066267,0.015463917525773196,157.1818181818182,0.0063620589936379405
Dodge,Grand Caravan,Era Classic,3,2,1,15,0.009026660135749773,0.015463917525773196,167.4,0.005973715651135005
Dodge,Grand Caravan,6929290 Canada Corporation,10,6,4,14,0.004740745924008117,0.01443298969072165,219.3846153846154,0.00455820476858345
Dodge,Grand Caravan,9578862 Canada Inc - Prio Auto Sales,8,6,6,11,0.007487229725001749,0.01134020618556701,148.83333333333334,0.006718924972004479
Dodge,Grand Caravan,2171574 Ontario Inc. - Guru Auto Service,6,5,5,10,0.00587782520467427,0.010309278350515464,162.33333333333334,0.006160164271047227
Dodge,Grand Caravan,JP Motors Sales Inc.,3,2,1,9,0.0029214190749422713,0.009278350515463918,161.16666666666666,0.006204756980351603
Dodge,Grand Caravan,Black Stallion Automotive Sales & Rentals Inc.,5,3,3,9,0.0030613672941011824,0.009278350515463918,117.28571428571429,0.008526187576126675
Dodge,Grand Caravan,2120004 Alberta Ltd - Diamond Motors,4,3,2,8,0.002221677979147715,0.008247422680412371,176.0,0.005681818181818182
Dodge,Grand Caravan,Sundance Chevrolet,7,7,6,8,0.012070533902456092,0.008247422680412371,197.5,0.005063291139240506
Dodge,Grand Caravan,9409-7540 Quebec inc. - Auto Rapide,0,0,0,8,0.00013994821915891122,0.008247422680412371,157.75,0.006339144215530904
Dodge,Grand Caravan,Shahnawaz Enterprises Inc - SMS Motors,7,5,5,7,0.0033062766776292773,0.007216494845360825,141.33333333333334,0.007075471698113207
Dodge,Grand Caravan,Patterson Auto Sales Inc.,3,3,2,7,0.0020117556504093484,0.007216494845360825,220.0,0.004545454545454545
Dodge,Grand Caravan,Kenny U-Pull Ottawa,3,3,3,7,0.0036036666433419636,0.007216494845360825,179.66666666666666,0.0055658627087198514
Dodge,Grand Caravan,Kimco Steel,2,2,2,7,0.003848576026870058,0.007216494845360825,85.71428571428571,0.011666666666666667
Dodge,Grand Caravan,Auto Roco - 9411-0343 Quebec Inc,1,1,1,7,0.0015219368833531593,0.007216494845360825,153.4,0.006518904823989569
Dodge,Grand Caravan,Mark Wilson's Better Used Cars,5,5,5,7,0.003393744314603597,0.007216494845360825,200.33333333333334,0.004991680532445923
Dodge,Grand Caravan,Hummarh Autos Inc,3,3,2,7,0.00143446924637884,0.007216494845360825,90.4,0.011061946902654867
