,Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
106,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Pickard Lane Leasing,1,0,0,1,0.0036386536981316913,0.012048192771084338,217.0,0.004608294930875576
107,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Pioneer Chrysler BC,1,0,0,1,0.010478622909523476,0.012048192771084338,,
108,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Prime Line Auto Group,0,0,0,1,0.0007347281505842838,0.012048192771084338,,
109,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Shahnawaz Enterprises Inc - SMS Motors,0,0,0,1,0.0033062766776292773,0.012048192771084338,107.0,0.009345794392523364
110,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,2547945 Ontario Inc,0,0,0,1,0.0024490938352809462,0.012048192771084338,281.0,0.0035587188612099642
111,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Steele Ford Lincoln,0,0,0,1,8.74676369743195e-05,0.012048192771084338,155.0,0.0064516129032258064
112,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Style Auto - 9052-5585 Quebec Inc,0,0,0,1,0.0018018333216709818,0.012048192771084338,240.0,0.004166666666666667
113,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Toronto Auto Group,0,0,0,1,0.002099223287383668,0.012048192771084338,185.0,0.005405405405405406
114,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Vickar Chevrolet,0,0,0,1,0.0005947799314253726,0.012048192771084338,105.0,0.009523809523809525
115,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Wallace Automobiles,0,0,0,1,0.0009096634245329228,0.012048192771084338,158.0,0.006329113924050633
116,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Overdrive Motors Inc,0,0,0,1,0.0011895598628507453,0.012048192771084338,129.0,0.007751937984496124
117,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,McNaught Buick Cadillac GMC,0,0,0,1,0.0008221957875586034,0.012048192771084338,162.0,0.006172839506172839
118,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Butterfield Limited Partnership - Ezee Wheelz,0,0,0,1,0.0002449093835280946,0.012048192771084338,120.0,0.008333333333333333
119,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Mark Wilson's Better Used Cars,1,0,0,1,0.003393744314603597,0.012048192771084338,,
120,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Kaylor Auto Group,1,1,0,1,0.0015394304107480233,0.012048192771084338,,
121,Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Go Auto Wholesale - AB,0,0,0,1,0.005283045273248898,0.012048192771084338,147.0,0.006802721088435374
122,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Automobiles Paille Inc.,4,3,1,12,0.02323140438037926,0.14634146341463414,165.75,0.006033182503770739
123,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Bridge Valley,2,2,1,12,0.021954376880554197,0.14634146341463414,113.63636363636364,0.0088
124,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,R.S. Car Sales Ltd,0,0,0,5,0.003936043663844377,0.06097560975609756,121.0,0.008264462809917356
125,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Gateway Leasing - East,0,0,0,4,0.0063326569169407316,0.04878048780487805,155.25,0.00644122383252818
